Champion;Games
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Leblanc.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Zoe.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Ahri.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Jayce.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Viktor.png"")";2
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Sylas.png"")";4
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Ryze.png"")";6
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Syndra.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Ezreal.png"")";4
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Annie.png"")";1
"=IMAGE(""https://ddragon.leagueoflegends.com/cdn/11.8.1/img/champion/Irelia.png"")";3
